, Data element name,Usage [Cardinality],Segment Name,Field Identifier,HL7 V2 Field Name,"V2 value set, other notes",FHIR element location,Usage [Cardinality].1,"FHIR Value set, other notes",parsed,joined
61,Prior Patient Location,"RE
NOTE: Required if known - for A02 Transfer event",PV1,6,Prior Patient Location,,"https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.location.location reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location-definitions.html#Location.name, where https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location-definitions.html#Location.status is valued 'completed'",R [1..1],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.location.location', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.name,', 'where', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.status', 'is', 'valued', ""'completed'""]","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.location.location reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.name, where <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.status is valued 'completed'"
62,Visit Number,R,PV1,19.1,Visit Number - Id Number,"The visit number is the Encounter.identifier where the Encounter.type is ""VN"" - for FHIR, ""VN"" needs to be added to the extensibly bound value set https://hl7.org/fhir/R4/valueset-identifier-type.html","https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.identifier.value, where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.identifier.type is valued 'VN'",R [1..1],"The element is Must Support, but the ID value is required","['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.identifier.value,', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.identifier.type', 'is', 'valued', ""'VN'""]","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.identifier.value, where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.identifier.type is valued 'VN'"
63,Treating Provider (Attending) NPI,RE‡,PV1,7.1,"Attending Doctor.Id Number
ROL-4.1 - Role Person Identifier, when ROL-3.1 = 'AT'
",,"https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.type.coding.code is valued 'ATND' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.identifier.value.html, where http://hl7.org/fhir/R4/datatypes-definitions.html#Identifier.system is valued 'http://hl7.org/fhir/sid/us-npi'",RE [0..1],This element is R in the USCorePractitioner resource - so one of these doctor types MUST be provided,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code', 'is', 'valued', ""'ATND'"", '-', 'referencing', 'http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.identifier.value.html,', 'where', 'http://hl7.org/fhir/R4/datatypes-definitions.html#Identifier.system', 'is', 'valued', ""'http://hl7.org/fhir/sid/us-npi'""]","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code is valued 'ATND' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.identifier.value.html, where http://hl7.org/fhir/R4/datatypes-definitions.html#Identifier.system is valued 'http://hl7.org/fhir/sid/us-npi'"
64,Treating Provider (Attending) Last Name,RE‡,PV1,7.2,"Attending Doctor.Family Name
ROL-4.2 - Role Person Last Name, when ROL-3.1 = 'AT'",,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.type.coding.code is valued 'ATND' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.family,RE [0..1],This element is R in the USCorePractitioner resource - so one of these doctor types MUST be provided,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code', 'is', 'valued', ""'ATND'"", '-', 'referencing', 'http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.family']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code is valued 'ATND' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.family"
65,Treating Provider (Attending) First Name,RE‡,PV1,7.3,"Attending Doctor.Given Name
ROL-4.3 - Role Person Given Name, when ROL-3.1 = 'AT'",,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.type.coding.code is valued 'ATND' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.given,RE [0..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code', 'is', 'valued', ""'ATND'"", '-', 'referencing', 'http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.given']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code is valued 'ATND' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.given"
66,Treating Provider (Attending) Direct address,RE,ROL,12.4.4,"Phone, where ROL-12.4.2 = 'DSM' and ROL-3.1 = 'AT'",,"https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.type.coding.code is valued 'ATND' - referencing https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner-definitions.html#Practitioner.telecom.value, where telecom.     ""extension"" - url : ""http://hl7.org/fhir/us/core/StructureDefinition/us-core-direct"" valueBoolean"" : true",RE [0..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code', 'is', 'valued', ""'ATND'"", '-', 'referencing', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.html"">US Core Practitioner Profile</a>.telecom.value,', 'where', 'telecom.', '', '', '', '', '""extension""', '-', 'url', ':', '""http://hl7.org/fhir/us/core/StructureDefinition/us-core-direct""', 'valueBoolean""', ':', 'true']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code is valued 'ATND' - referencing <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.html"">US Core Practitioner Profile</a>.telecom.value, where telecom.     ""extension"" - url : ""http://hl7.org/fhir/us/core/StructureDefinition/us-core-direct"" valueBoolean"" : true"
67,Treating Provider (Consulting) NPI,RE‡,PV1,9.1,"Consulting Doctor.Id Number
ROL-4.1 - Role Person Identifier, when ROL-3.1 = 'CP'",,"https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.type.coding.code is valued 'CON' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.identifier.value.html, where http://hl7.org/fhir/R4/datatypes-definitions.html#Identifier.system is valued 'http://hl7.org/fhir/sid/us-npi'",RE [0..1],This element is R in the USCorePractitioner resource - so one of these doctor types MUST be provided,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code', 'is', 'valued', ""'CON'"", '-', 'referencing', 'http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.identifier.value.html,', 'where', 'http://hl7.org/fhir/R4/datatypes-definitions.html#Identifier.system', 'is', 'valued', ""'http://hl7.org/fhir/sid/us-npi'""]","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code is valued 'CON' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.identifier.value.html, where http://hl7.org/fhir/R4/datatypes-definitions.html#Identifier.system is valued 'http://hl7.org/fhir/sid/us-npi'"
68,Treating Provider (Consulting) Last Name,RE‡,PV1,9.2,"Consulting Doctor.Family Name
ROL-4.2 - Role Person Last Name, when ROL-3.1 = 'CP'",,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.type.coding.code is valued 'CON' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.family,RE [0..1],This element is R in the USCorePractitioner resource - so one of these doctor types MUST be provided,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code', 'is', 'valued', ""'CON'"", '-', 'referencing', 'http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.family']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code is valued 'CON' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.family"
69,Treating Provider (Consulting) First Name,RE‡,PV1,9.3,"Consulting Doctor.Given Name
ROL-4.3 - Role Person Given Name, when ROL-3.1 = 'CP'",,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.type.coding.code is valued 'CON' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.given,RE [0..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code', 'is', 'valued', ""'CON'"", '-', 'referencing', 'http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.given']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code is valued 'CON' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.given"
70,Treating Provider (Consulting) Direct address,RE,ROL,12.4.4,"Phone, where ROL-12.4.2 = 'DSM' and ROL-3.1 = 'CP'",,"https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.type.coding.code is valued 'CON' - referencing https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner-definitions.html#Practitioner.telecom.value, where telecom.     ""extension"" - url : ""http://hl7.org/fhir/us/core/StructureDefinition/us-core-direct"" valueBoolean"" : true",RE [0..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code', 'is', 'valued', ""'CON'"", '-', 'referencing', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.html"">US Core Practitioner Profile</a>.telecom.value,', 'where', 'telecom.', '', '', '', '', '""extension""', '-', 'url', ':', '""http://hl7.org/fhir/us/core/StructureDefinition/us-core-direct""', 'valueBoolean""', ':', 'true']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code is valued 'CON' - referencing <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.html"">US Core Practitioner Profile</a>.telecom.value, where telecom.     ""extension"" - url : ""http://hl7.org/fhir/us/core/StructureDefinition/us-core-direct"" valueBoolean"" : true"
71,Treating Provider (Admitting) NPI,RE‡,PV1,17.1,"Admitting Doctor.Id Number
ROL-4.1 - Role Person Identifier, when ROL-3.1 = 'AD'",,"https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.type.coding.code is valued 'ADM' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.identifier.value.html, where http://hl7.org/fhir/R4/datatypes-definitions.html#Identifier.system is valued 'http://hl7.org/fhir/sid/us-npi'",RE [0..1],This element is R in the USCorePractitioner resource - so one of these doctor types MUST be provided,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code', 'is', 'valued', ""'ADM'"", '-', 'referencing', 'http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.identifier.value.html,', 'where', 'http://hl7.org/fhir/R4/datatypes-definitions.html#Identifier.system', 'is', 'valued', ""'http://hl7.org/fhir/sid/us-npi'""]","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code is valued 'ADM' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.identifier.value.html, where http://hl7.org/fhir/R4/datatypes-definitions.html#Identifier.system is valued 'http://hl7.org/fhir/sid/us-npi'"
72,Treating Provider (Admitting) Last Name,RE‡,PV1,17.2,"Admitting Doctor.Family Name
ROL-4.2 - Role Person Last Name, when ROL-3.1 = 'AD'",,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.type.coding.code is valued 'ADM' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.family,RE [0..1],This element is R in the USCorePractitioner resource - so one of these doctor types MUST be provided,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code', 'is', 'valued', ""'ADM'"", '-', 'referencing', 'http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.family']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code is valued 'ADM' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.family"
73,Treating Provider (Admitting) First Name,RE‡,PV1,17.3,"Admitting Doctor.Given Name
ROL-4.3 - Role Person Given Name, when ROL-3.1 = 'AD'",,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.type.coding.code is valued 'ADM' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.given,RE [0..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code', 'is', 'valued', ""'ADM'"", '-', 'referencing', 'http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.given']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code is valued 'ADM' - referencing http://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.name.given"
74,Treating Provider (Admitting) Direct address,RE,ROL,12.4.4,"Phone, where ROL-12.4.2 = 'DSM' and ROL-3.1 = 'AD'",,"https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant where https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.participant.type.coding.code is valued 'ADM' - referencing https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner-definitions.html#Practitioner.telecom.value, where telecom.     ""extension"" - url : ""http://hl7.org/fhir/us/core/StructureDefinition/us-core-direct"" valueBoolean"" : true",RE [0..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant', 'where', '<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code', 'is', 'valued', ""'ADM'"", '-', 'referencing', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.html"">US Core Practitioner Profile</a>.telecom.value,', 'where', 'telecom.', '', '', '', '', '""extension""', '-', 'url', ':', '""http://hl7.org/fhir/us/core/StructureDefinition/us-core-direct""', 'valueBoolean""', ':', 'true']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant where <a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.participant.type.coding.code is valued 'ADM' - referencing <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-practitioner.html"">US Core Practitioner Profile</a>.telecom.value, where telecom.     ""extension"" - url : ""http://hl7.org/fhir/us/core/StructureDefinition/us-core-direct"" valueBoolean"" : true"
75,Discharge Disposition,"R
NOTE: Required - for Discharge events",PV1,36,Discharge Disposition,"The code values to be used in PV1-36 should be from the NUBC UB-04 Patient Discharge Status codes used in Form Locator 17. (https://www.nubc.org/) - not included in Value Set Mapping tab;
Since the DaVinci IG inherited the example binding to the Valueset defined by FHIR core and USCore did not further constrain it implementers should use the same codes as they use in V2.",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.hospitalization.dischargeDisposition,RE [0..1],"http://hl7.org/fhir/R4/valueset-encounter-discharge-disposition.html
The FHIR value set is example binding, so can use same as in Direct IG","['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.hospitalization.dischargeDisposition']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.hospitalization.dischargeDisposition"
76,Discharged to Location,"RE
NOTE: Required if known - for Discharge events",PV1,37,Discharged to Location,The vocabulary in V2 is user defined with no suggested values - ,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.hospitalization.destination reference https://hl7.org/fhir/us/core/STU3.1.1/StructureDefinition-us-core-location-definitions.html#Location.name,RE [0..1],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.hospitalization.destination', 'reference', 'https://hl7.org/fhir/us/core/STU3.1.1/StructureDefinition-us-core-location-definitions.html#Location.name']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.hospitalization.destination reference https://hl7.org/fhir/us/core/STU3.1.1/StructureDefinition-us-core-location-definitions.html#Location.name"
77,Admit Date,R,PV1,44,Admit Date/Time,"This field SHOULD be the name of the facility to
which the patient is being discharged",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.period.start,RE [0..1],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.period.start']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.period.start"
78,Discharge Date,O [0..1],PV1,45,Discharge Date/Time,,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.period.end,,,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.period.end']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.period.end"
79,Admission Reason,"R when event type is admission.
RE when event type is discharge/transfer",PV2,3,Admit Reason,"No value set selected in Direct IG, the base standard also has no references, in FHIR the preferred binding is to a valueset drawn from SNOMED, which is already used in CDA also.
It would be nice to adopt the same vlaue set in Direct IG",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.reasonCode,RE [0..1],http://hl7.org/fhir/R4/valueset-encounter-reason.html,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.reasonCode']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.reasonCode"
80,Treating Facility Name,"R

",PV2,23.1,Clinic Organization Name.Orgnaization Name,"NOTE: The treating facility name SHOULD be distinctive enough that it uniquely identifies the physical location (facility) where the patient is or was being treated

NOTE: The Treating Facility Address should be sent in a corresponding ROL segment in ROL-11 with ROL-3 = TF        

NOTE: The Treating Facility Name should correspond with the Organization identified in the EVN-7 and whose address is sent in ROL-11, with ROL-3 = TF
Maybe constrain the DIrect IG to make PV2 at least RE","https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.location.location reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location-definitions.html#Location.name, where https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location-definitions.html#Location.status is valued 'active'",R[1..1],Address for this location can be sent in https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location-definitions.html#Location.address,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.location.location', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.name,', 'where', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.status', 'is', 'valued', ""'active'""]","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.location.location reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.name, where <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-location.html"">US Core Location Profile</a>.status is valued 'active'"
